ID,Nombre,Grado,pag,Sector,Grado estandarizado
987,Nefastus,7b+,37,La Galería,7b+
988,"Negra tomasa, La",6a+,25,Fasnia,6a+
989,Nelson Mandele,V+,70,Arico,V+
990,Neurosis colectiva,6a+,171,Zona Zero,6a+
991,Newton,6C,198,Las Vegas,6C
992,"Niña de porcelana, La",6b+,37,La Galería,6b+
993,"Niña, La",7a+,77,Arico,7a+
994,"Niño repelente, El",6b+,129,Fantasma,6b+
995,No cepillo más,6a+,70,Arico,6a+
996,No estés pensando en eso..,6b,180,Las Barbas de San Pedro,6b
997,No hay colega sin taco,v,84,Arico,v
998,No hay nivel,v+,83,Arico,v+
999,No hay pieda pa los godos,6c,70,Arico,6c
1000,No hay tacto,6c+,263,El Capricho,6c+
1001,No la encadeno y la decoto,6c,162,El Río,6c
1002,No llegues tarde,7a,81,Arico,7a
1003,No lo sabes ya?,¿?,251,El Capricho,NA
1004,No me acuerdo,6b,115,La Fuente,6b
1005,No me tortures,6b+,153,El Río,6b+
1006,Rápido como un tiburón,7a,80,Arico,7a
1007,"Ratona de chaman, La ",7b,37,La Galería,7b
1008,"Raya blanca, La",¿?,237,Guaria,NA
1009,Rayakayac,6b,251,El Capricho,6b
1010,"Rayón del yaris, El",6a+,124,Fantasma,6a+
1011,Rebajas de enero,6a+,263,El Capricho,6a+
1012,Rebecca,V,70,Arico,V
1013,Red Hot,6b+,60,Planeta Zarza,6b+
1014,"Regletódromo, El",¿?,24,Fasnia,NA
1015,"Regreso del patrón, El",7a,93,Arico,7a
1016,"Regreso del sargento, El",V+,179,Las Barbas de San Pedro,V+
1017,"Reinas de Cuenca, Las",7c,91,Arico,7c
1018,Relájate primo,7a+,75,Arico,7a+
1019,Reposo bloqueado,6a,74,Arico,6a
1020,Reposo reposo,6c+,74,Arico,6c+
1021,"Retroceso de los heavys, El",7a,237,Guaria,7a
1022,Revolcón en las pencas,6a+,28,Fasnia,6a+
1023,"Rey judío, El",¿?,162,El Río,NA
1024,Riesgo,6b+,116,La Fuente,6b+
1025,"Rincón de la tortura, El",7a,106,Los Naranjos,7a
1026,Risk it for a biscuit,V+,59,Planeta Zarza,V+
1027,"Robadores, Los",6a+,73,Arico,6a+
1028,Robert,6b,211,Las Palomas,6b
1029,Robert Miller,8a,91,Arico,8a
1030,Roca en potencia,7a,153,El Río,7a
1031,"Rodríguez, Los",6b+,173,Zona Zero,6b+
1032,Roma no paga traidores,¿?,157,El Río,NA
1033,Ropita friki,"6b, 7a, 6b",237,Guaria,"6b, 7a, 6b"
1034,Ropita vieja,"6C+, V+, 6b",237,Guaria,"6C+, V+, 6b"
1035,Roxtore,6a+,45,Tamadaya,6a+
1036,"Rubia rica de Guía, La",7a,237,Guaria,7a
1037,"Rubio y la toyota, El",6b+,59,Planeta Zarza,6b+
1038,"Rudolf, La",6c,155,El Río,6c
1039,"Ruina del planeta, La",7a,95,Arico,7a
1040,Ruleta rosa,7b+,91,Arico,7b+
1041,Ruleta rusa,7b+,199,Las Vegas,7b+
1042,Rumanorum,7b+,196,Las Vegas,7b+
1043,"Rumbosa, La",6a,160,El Río,6a
1044,Sabor a fresa,6a,229,Guaria,6a
1045,Sabrasatia de masacre,7a,248,El Capricho,7a
1046,Sacaté del beletén,6c,233,Guaria,6c
1047,Sácate las babuchas,6c/+,124,Fantasma,6C
1048,Salvajemente,6a,220,La Martela,6a
1049,Sangre ajena,"??, ??, ??+",237,Guaria,"??, ??, ??+"
1050,Sansofé,7a+,162,El Río,7a+
1051,"Sarcófago, El",6b+,131,Fantasma,6b+
1052,Sátiva puera,6b,159,El Río,6b
1053,Schnickschnack,6b,172,Zona Zero,6b
1054,"Schuppo, El",6b,115,La Fuente,6b
1055,Schusselig,IV,50,Tamadaya,IV
1056,Schweinerey,6b,259,El Capricho,6b
1057,Se cierra y tiene patio,"7a+, 7a",240,Guaria,"7a+, 7a"
1058,Se te viró el cuajo,6b+,207,Las Palomas,6b+
1059,Sebito rendija,6c+,89,Arico,6c+
1060,Seco de mente,7a,105,Los Naranjos,7a
1061,Seek and block,7c+,251,El Capricho,7c+
1062,Seek and destroy,7b,251,El Capricho,7b
1063,Selva negra,6a+,45,Tamadaya,6a+
1064,Semen reciclado,6b,95,Arico,6b
1065,Sensación de pepino Il,7b+,91,Arico,7b+
1066,Sentado sobre el muerto,6b+,180,Las Barbas de San Pedro,6b+
1067,"Señor de Guaria, El","V+A1(72,62,6a,60",240,Guaria,"V+A1(72,62,6a,60"
1068,"Señor de la roca, El",V+,155,El Río,V+
1069,"Señor de las bestias, El",6b,98,Arico,6b
1070,"Señor de las moscas, El",7c,39,La Galería,7c
1071,Señorita Rotenmeyer,6a+,198,Las Vegas,6a+
1072,Sepang 54,7a+,113,La Fuente,7a+
1073,Sergio y Robert,6b,211,Las Palomas,6b
1074,Serva virgen,6b+,76,Arico,6b+
1075,Seven Up,7b,94,Arico,7b
1076,Sexo free,6a+,262,El Capricho,6a+
1077,Sexto sentido,6a+,59,Planeta Zarza,6a+
1078,Sicatral,6C,249,El Capricho,6C
1079,Sick english,6a,70,Arico,6a
1080,Variante,8b+,248,El Capricho,8b+
1081,Variante de entrada,7a+,93,Arico,7a+
1082,Variante de entrada,7b,172,Zona Zero,7b
1083,Variante de los cartuchos,6c,39,La Galería,6c
1084,Variante pa gigantes,7c+,91,Arico,7c+
1085,Variante Siglo XXI,8a,239,Guaria,8a
1086,Vaya trompada,6a+,261,El Capricho,6a+
1087,"Vegano del darling, El",7C,160,El Río,7C
1088,"Vejequillo, El",6a,125,Fantasma,6a
1089,"Venganza del godo, La",6a+,84,Arico,6a+
1090,Vente pa'ca,6a+,160,El Río,6a+
1091,"Ventosa, El",7a+,129,Fantasma,7a+
1092,Verano en Texas,6c. 7b+,235,Guaria,6c. 7b+
1093,Verlo para creerlo,V+,200,Las Vegas,V+
1094,Via de Bukanan,7a+,240,Guaria,7a+
1095,Via de Marta,7a,63,Planeta Zarza,7a
1096,Via de Pablo,"7b, 6b+",237,Guaria,"7b, 6b+"
1097,Via de Peláez,6a+,262,El Capricho,6a+
1098,Via de Ralf,7b+,239,Guaria,7b+
1099,Via de Ruyman,6c+,89,Arico,6c+
1100,"Via de Tito, La",V+,45,Tamadaya,V+
1101,"Via del cabrero, La",V+,220,La Martela,V+
1102,"Via del Cántabro, La",6b+,233,Guaria,6b+
1103,Via del Carlos,7c,156,El Río,7c
1104,"Via del Cesar, La",6c,255,El Capricho,6c
1105,Via del diedro,IV,254,El Capricho,IV
1106,"Via del men, La",7b,75,Arico,7b
1107,Via del Pelaez,7c,233,Guaria,7c
1108,"Via del regleta, La",8b/+,153,El Río,8B
1109,"Via del techo, La",7b,155,El Río,7b
1110,"Via láctea, La",7a+/+,146,Hoyo,7A+
1111,Victor,6a+/ +,114,La Fuente,6A+
1112,Vigilame bien,6a,106,Los Naranjos,6a
1113,"Vira, La",8a,157,El Río,8a
1114,"Visionaria, La",6a,23,Fasnia,6a
1115,"Viuda del bosque, La",6b,75,Arico,6b
1116,Vocka pomelo,7b+,39,La Galería,7b+
1117,Vodka a granel,7b+,157,El Río,7b+
1118,Voy pal moro,6c,230,Guaria,6c
1119,"Vuelo del angelito, El",6b+,221,La Martela,6b+
1120,Vulcanovick,6c,211,Las Palomas,6c
1121,Walt Disney,IV,195,Las Vegas,IV
1122,Waterloo,V+,255,El Capricho,V+
1123,Welcome to Las Vegas,6b,197,Las Vegas,6b
1124,White widow,7c,233,Guaria,7c
1125,"Willy, La",7c+,157,El Río,7c+
1126,Wirito santo,6c,70,Arico,6c
1127,Y porque no?,v+,76,Arico,v+
1128,Y si lo se lo pego,6c+,106,Los Naranjos,6c+
1129,Y tú por qué no equipas?,6c,77,Arico,6c
1130,Yan,6C,113,La Fuente,6C
1131,Yertoman,V,123,Fantasma,V
1132,Yin,6b+,113,La Fuente,6b+
1133,Yo escalando y la alarma...,6a+,184,Las Barbas de San Pedro,6a+
1134,Yo la hice y tú no,6a+,153,El Río,6a+
1135,Yo pillo bordillo,6b+,197,Las Vegas,6b+
1136,Yo solo hago clásica,6b+,160,El Río,6b+
1137,Yo ya comi,8a,106,Los Naranjos,8a
1138,Yononono,6c,254,El Capricho,6c
1139,Zape,7b,99,Arico,7b
1140,Zape,6b,131,Fantasma,6b
1141,Zarna curan,6b+,211,Las Palomas,6b+
1142,Zipi,6c+,99,Arico,6c+
1143,Zipi,6a+,131,Fantasma,6a+
1144,Zurrón del gofio,6C,160,El Río,6C
