ID,Nombre,Grado,pag,Sector,Grado estandarizado
564,Que raja tiene mi novia,6C,198,Las Vegas,6C
565,Que te pires pa'abajo,6c+,28,Fasnia,6c+
566,Quejones compulsivos,6b,97,Arico,6b
567,Queso duro,7a,196,Las Vegas,7a
568,Quién le va a dar,6b+,28,Fasnia,6b+
569,"Quila, La",6a+,229,Guaria,6a+
570,"Quilla, La",7b+,240,Guaria,7b+
571,"Quinto de Clark, El",V,124,Fantasma,V
572,Quinto de travesia,v,125,Fantasma,v
573,"Quinto pino, El",6a,143,Hoyo,6a
574,"Rácana, La",7c,39,La Galería,7c
575,Raco,6b+,248,El Capricho,6b+
576,Rainbow,"??, 6b",263,El Capricho,"??, 6b"
577,"Rampa, La",6a,229,Guaria,6a
578,"Rampita, La",6a,229,Guaria,6a
579,Rantamplan,6b,82,Arico,6b
580,Siempre jiñado y sin papel,7b,99,Arico,7b
581,Siga no más,6a,52,Tamadaya,6a
582,Siglo XXI,8a+,239,Guaria,8a+
583,Siglo XXI,6c,247,El Capricho,6c
584,Sigue blokando,6c,130,Fantasma,6c
585,"Silencio de los corderos, El",6a,200,Las Vegas,6a
586,Silencio!,6c+,185,Las Barbas de San Pedro,6c+
587,"Silla eléctrica, La",7b,88,Arico,7b
588,Silverback gorilla,6b,63,Planeta Zarza,6b
589,Sin anestesia,"6cAe,7aA0,6CA1",237,Guaria,"6cAe,7aA0,6CA1"
590,"Sin ánimo de lucro, sin..",V-,124,Fantasma,V-
591,Sin dressing,7c,113,La Fuente,7c
592,Sin escaqueo,6a,48,Tamadaya,6a
593,Sin exceso de peso,7b,87,Arico,7b
594,Sin ley,6b,200,Las Vegas,6b
595,Sin moska en la tapia,7a,93,Arico,7a
596,Sin pata palo,6b,96,Arico,6b
597,Sin querer queriendo,6a,198,Las Vegas,6a
598,Sin retorno,6a+,49,Tamadaya,6a+
599,Sin vivir,6c+,89,Arico,6c+
600,Sin yuyu,6a,219,La Martela,6a
601,Sincronicity,6a+,141,Hoyo,6a+
602,Sindrome Canario,8C,88,Arico,8C
603,Sindrome peraboliano,6C,155,El Río,6C
604,Sir Kelenken,8b,248,El Capricho,8b
605,"Siroco me vuelve loco, El",7a+,37,La Galería,7a+
606,Sistema oeste,"6b/+, 6c/+",237,Guaria,"6b/+, 6c/+"
607,Smearing,IV+,69,Arico,IV+
608,"Solar de Funes, El",6b+,31,Fasnia,6b+
609,Solo térnica,6b,200,Las Vegas,6b
610,Sopa de escualo,6b,229,Guaria,6b
611,Sophia,7b+,89,Arico,7b+
612,"Spagat, Der",V,49,Tamadaya,V
613,Specialiced,6C+,171,Zona Zero,6C+
614,Spectrum,7c+,38,La Galería,7c+
615,Stone Master,6c,250,El Capricho,6c
616,Strinkin team,6b,208,Las Palomas,6b
617,Stupefacta,6b+,144,Hoyo,6b+
618,"Subida a la guancha, La",6a,146,Hoyo,6a
619,Subidón al cazo,V+,70,Arico,V+
620,"Subpringado, El",6b+,162,El Río,6b+
621,Subway,7c+/+,248,El Capricho,7C+
622,Sudor parrao,7a,60,Planeta Zarza,7a
623,Suéltame grifa,6b,77,Arico,6b
624,Suministros coronas,6b,78,Arico,6b
625,Superlopez,6b,76,Arico,6b
626,Supernova,7a,60,Planeta Zarza,7a
627,Surgió de repente,6c+,237,Guaria,6c+
628,Surgió pa un pegue,7b,153,El Río,7b
629,Sus villa,6b,84,Arico,6b
630,Sweden crack,V+,47,Tamadaya,V+
631,T-Rex,6B+,181,Las Barbas de San Pedro,6B+
632,Tabaiba trapi,8a,239,Guaria,8a
633,Tabares es lo que vale,7a,88,Arico,7a
634,"Taco de Fran, El",7b+,88,Arico,7b+
635,Tacto rectal,6c,247,El Capricho,6c
636,Take a bit,6c,251,El Capricho,6c
637,Take it easy,IV+,49,Tamadaya,IV+
638,Takk,6a,172,Zona Zero,6a
639,Tales y cuales,7b,200,Las Vegas,7b
640,Tállate la boca,8a,261,El Capricho,8a
641,Tance in Guaria,6B+,235,Guaria,6B+
642,Tapita lupita,6c+,200,Las Vegas,6c+
643,Tatopani,6b,263,El Capricho,6b
644,TCH,IV+,49,Tamadaya,IV+
645,Te huelen los pies,6a,251,El Capricho,6a
646,"Techin, La",7c,87,Arico,7c
647,Techo de Bartolo,7c,260,El Capricho,7c
648,"Techo de los calvos, El",7b,250,El Capricho,7b
649,Techo de Mario,7b+,248,El Capricho,7b+
650,Techo de rosal,6b,248,El Capricho,6b
651,Techo gordo de Petete,8a,252,El Capricho,8a
652,"Techo, El",6b+,73,Arico,6b+
653,Tentempie,6c,145,Hoyo,6c
654,Guacamole,8a+,157,El Río,8a+
655,Guajolote,7a,59,Planeta Zarza,7a
656,"Guanche de Guargacho, El",7a,89,Arico,7a
657,Guapísimo superior,V+,200,Las Vegas,V+
658,Guarapo,8a+,157,El Río,8a+
659,Guardese el lápiz,6b,23,Fasnia,6b
660,"Guardián, El",6a,31,Fasnia,6a
661,Guaria pa'escaladores,"6b+, 7?, 6b",239,Guaria,"6b+, 7?, 6b"
662,"Guarra, La",IV+,85,Arico,IV+
663,Guasacaca,7b+/+,156,El Río,7B+
664,"Guataca, pico y pala",6a,153,El Río,6a
665,Guayota,8C,157,El Río,8C
666,"Guerrera, La",7a+,37,La Galería,7a+
667,"Guillotina, La",6b+,63,Planeta Zarza,6b+
668,"Guiri listo, El",7a+,128,Fantasma,7a+
669,Guiripolla,6b+,251,El Capricho,6b+
670,"Gummi, Der",6a+,52,Tamadaya,6a+
671,Gustavo reportero,7b+,253,El Capricho,7b+
672,Hablando con propiedad,IV,69,Arico,IV
673,Hacerme rico me costó lo tuyo,6c+,160,El Río,6c+
674,Haceros inoxidables,7a+,230,Guaria,7a+
675,Hacia la cagada de la paloma,6c,27,Fasnia,6c
676,Hanky-Punky,7a,255,El Capricho,7a
677,Happy new year!,6b,59,Planeta Zarza,6b
678,Hasta la reunión,7c,37,La Galería,7c
679,Hasta la reunión y más allá,7c+/+,37,La Galería,7C+
680,Haz historia,8a,233,Guaria,8a
681,Hermanos García Espinosa,6c,159,El Río,6c
682,Higo,IV+,128,Fantasma,IV+
683,Hija de putin,7a+,154,El Río,7a+
684,Hillman,6c+,199,Las Vegas,6c+
685,"Hombres grises, Los",V,73,Arico,V
686,Honguitos peligrosos,6b+,83,Arico,6b+
687,Hot Lava,6c+,141,Hoyo,6c+
688,Hotel andoriña,7a,23,Fasnia,7a
689,Hoyitos,6b,146,Hoyo,6b
690,Hoyitos mix,6b,146,Hoyo,6b
691,"Hoz, La",V+,200,Las Vegas,V+
